"","data_category","variable name - description"
"1","Participant info/Demographics","id_event - Subject ID concatenated data collection event (V1, V2, V3, etc.)"
"2","Participant info/Demographics","id - Subject ID"
"3","Participant info/Demographics","event - Study-specific visit/event short name (V1, In-person visit 1 | V2, In-person visit 2 | V3, In-person visit 3 | V4, In-person visit 4 | F1, First followup survey one year after first in-person visit in HCA | F2, Second followup survey in HCA | F3, Third followup survey in HCA | CR, Surveys collected remotely during Covid lock-down without regard to visit timing | AF1, First followup survey one year after first in-person visit in AABC)"
"4","Participant info/Demographics","study - Study during which data for this timepoint were collected"
"5","Blood markers","hba1c - Core Lab Results: HbA1c (%)"
"6","Blood markers","hscrp - Core Lab Results: HS C-Reactive Prot (mg/L)"
"7","Blood markers","insulin - Core Lab Results: Insulin (uU/mL)"
"8","Blood markers","vitamind - Core Lab Results: Vitamin D (ng/mL)"
"9","Blood markers","albumin - Core Lab Results: Albumin (g/dL)"
"10","Blood markers","alkphos_total - Core Lab Results: Alk Phos, Total (IU/L)"
"11","Blood markers","alt_sgpt - Core Lab Results: ALT (SGPT) (IU/L)"
"12","Blood markers","ast_sgot - Core Lab Results: AST (SGOT) (IU/L)"
"13","Blood markers","calcium - Core Lab Results: Calcium (mg/dL)"
"14","Blood markers","chloride - Core Lab Results: Chloride (mmol/L)"
"15","Blood markers","co2content - Core Lab Results: CO2 Content (mmol/L)"
"16","Blood markers","creatinine - Core Lab Results: Creatinine (mg/dL)"
"17","Blood markers","glucose - Core Lab Results: Glucose (mg/dL)"
"18","Blood markers","potassium - Core Lab Results: Potassium (mmol/L)"
"19","Blood markers","sodium - Core Lab Results: Sodium (mmol/L)"
"20","Blood markers","totalbilirubin - Core Lab Results: Total Bilirubin (mg/dL)"
"21","Blood markers","totalprotein - Core Lab Results: Total Protein (g/dL)"
"22","Blood markers","ureanitrogen - Core Lab Results: Urea Nitrogen (mg/dL)"
"23","Blood markers","friedewald_ldl - Core Lab Results: Friedewald LDL Chol (mg/dL)"
"24","Blood markers","hdl - Core Lab Results: Direct HDL Cholesterol (mg/dL)"
"25","Blood markers","cholesterol - Core Lab Results: Total Cholesterol (mg/dL)"
"26","Blood markers","triglyceride - Core Lab Results: Triglycerides (mg/dL)"
"27","Blood markers","direct_ldl - Core Lab Results: Direct LDL Cholesterol (collected only if Friedewald LDL invalid):"
"28","Blood markers","estradiol - Core Lab Results: Estradiol, e601 (pg/mL)"
"29","Blood markers","testosterone - Core Lab Results: Testosterone (ng/dL)"
"30","Blood markers","lh - Core Lab Results: Luteinizing Hormone (IU/L)"
"31","Blood markers","fsh - Core Lab Results: Follicle-Stimulating Hormone (IU/L)"
"32","Blood markers","aldosterone - Core Lab Results: Aldosterone (pg/mL)"
"33","Blood markers","dheas - Core Lab Results: DHEA-S (ug/dL)"
"34","Blood markers","cortisol - Core Lab Results: Cortisol (ug/dL)"
"35","Blood markers","CCL8 - Biomarkers and Genotypes: CCL8: P80075 OID05580 (pg/mL)"
"36","Blood markers","IL33 - Biomarkers and Genotypes: IL33: O95760 OID05581 (pg/mL)"
"37","Blood markers","CXCL12 - Biomarkers and Genotypes: CXCL12: P48061 OID05582 (pg/mL)"
"38","Blood markers","OLR1 - Biomarkers and Genotypes: OLR1: P78380 OID05583 (pg/mL)"
"39","Blood markers","IL27 - Biomarkers and Genotypes: IL27: Q8NEV9_Q14213 OID05584 (pg/mL)"
"40","Blood markers","IL2 - Biomarkers and Genotypes: IL2: P60568 OID05585 (pg/mL)"
"41","Blood markers","CXCL9 - Biomarkers and Genotypes: CXCL9: Q07325 OID05587 (pg/mL)"
"42","Blood markers","TGFA - Biomarkers and Genotypes: TGFA: P01135 OID05588 (pg/mL)"
"43","Blood markers","IL1B - Biomarkers and Genotypes: IL1B: P01584 OID05589 (pg/mL)"
"44","Blood markers","IL6 - Biomarkers and Genotypes: IL6: P05231 OID05590 (pg/mL)"
